%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1705447349720283609,0,82.0,91.0,84.0,85.0
1705447349752010844,0,83.0,91.0,85.0,87.0
1705447349783382703,0,83.0,90.0,85.0,85.0
1705447349814526101,0,83.0,90.0,85.0,85.0
1705447349845659544,0,82.0,91.0,85.0,83.0
1705447349878068240,0,82.0,91.0,85.0,84.0
1705447349908238987,0,82.0,91.0,86.0,84.0
1705447349940949094,0,82.0,91.0,85.0,85.0
1705447349971671604,0,82.0,91.0,85.0,86.0
1705447350002425299,0,81.0,92.0,84.0,85.0
1705447350035765037,0,81.0,91.0,84.0,84.0
1705447350065212189,0,81.0,91.0,85.0,85.0
1705447350095955938,0,82.0,90.0,85.0,85.0
1705447350127431415,0,81.0,90.0,86.0,85.0
1705447350161075903,0,82.0,90.0,86.0,85.0
1705447350190293643,0,82.0,90.0,86.0,85.0
1705447350224878985,0,83.0,89.0,85.0,87.0
1705447350252905824,0,82.0,89.0,85.0,86.0
1705447350284473757,0,81.0,90.0,85.0,85.0
1705447350315374500,0,81.0,91.0,85.0,85.0
1705447350346381008,0,82.0,92.0,85.0,85.0
1705447350377797400,0,82.0,91.0,85.0,85.0
1705447350409389160,0,81.0,91.0,86.0,85.0
1705447350441987589,0,81.0,91.0,85.0,86.0
1705447350473842078,0,83.0,90.0,85.0,86.0
1705447350507253893,0,84.0,90.0,86.0,85.0
1705447350535448631,0,84.0,90.0,86.0,85.0
1705447350566411465,0,82.0,91.0,87.0,84.0
1705447350598131114,0,81.0,91.0,85.0,84.0
1705447350628464286,0,82.0,91.0,85.0,85.0
1705447350660724315,0,82.0,90.0,85.0,85.0
1705447350691423780,0,82.0,90.0,86.0,86.0
1705447350722005411,0,82.0,91.0,84.0,85.0
1705447350754953809,0,82.0,91.0,84.0,85.0
1705447350785402063,0,83.0,90.0,84.0,86.0
1705447350818668500,0,83.0,90.0,84.0,87.0
1705447350847744085,0,83.0,90.0,85.0,86.0
1705447350879486204,0,83.0,90.0,85.0,86.0
1705447350910584880,0,83.0,90.0,85.0,85.0
1705447350942279476,0,83.0,90.0,85.0,86.0
1705447350972943405,0,83.0,90.0,85.0,86.0
1705447351005142281,0,83.0,89.0,85.0,86.0
1705447351035484981,0,82.0,88.0,85.0,86.0
1705447351067140404,0,82.0,89.0,84.0,86.0
1705447351099132968,0,82.0,89.0,84.0,85.0
1705447351129494291,0,82.0,91.0,84.0,84.0
1705447351160221858,0,82.0,91.0,84.0,85.0
1705447351191095895,0,82.0,91.0,84.0,85.0
1705447351223049353,0,82.0,92.0,85.0,85.0
1705447351256840322,0,82.0,91.0,85.0,84.0
1705447351285621016,0,82.0,91.0,84.0,84.0
1705447351316735119,0,82.0,90.0,84.0,84.0
1705447351348216547,0,82.0,90.0,85.0,85.0
1705447351379294145,0,82.0,90.0,85.0,85.0
1705447351411238087,0,81.0,90.0,85.0,85.0
1705447351442096160,0,81.0,91.0,85.0,84.0
1705447351472873378,0,80.0,90.0,84.0,85.0
1705447351505130954,0,81.0,92.0,84.0,85.0
1705447351535765009,0,80.0,91.0,84.0,86.0
1705447351567374095,0,81.0,92.0,84.0,85.0
1705447351598654562,0,82.0,90.0,85.0,85.0
1705447351629869922,0,84.0,89.0,84.0,85.0
1705447351660864858,0,85.0,87.0,84.0,87.0
1705447351692381908,0,85.0,86.0,84.0,87.0
1705447351725052557,0,85.0,86.0,84.0,88.0
1705447351755192653,0,84.0,87.0,84.0,87.0
1705447351787232923,0,85.0,87.0,84.0,87.0
1705447351817116873,0,85.0,86.0,84.0,88.0
1705447351849631493,0,86.0,86.0,84.0,87.0
1705447351883836105,0,87.0,86.0,83.0,88.0
1705447351913102910,0,87.0,87.0,82.0,88.0
1705447351946896635,0,87.0,87.0,82.0,89.0
1705447351974807949,0,86.0,88.0,83.0,90.0
1705447352007286185,0,85.0,88.0,83.0,90.0
1705447352037336565,0,85.0,89.0,82.0,91.0
1705447352071325761,0,86.0,88.0,81.0,91.0
1705447352099378638,0,88.0,89.0,81.0,93.0
1705447352130667925,0,90.0,89.0,81.0,96.0
1705447352161717034,0,91.0,89.0,79.0,98.0
1705447352193366536,0,92.0,85.0,76.0,100.0
1705447352225351854,0,91.0,81.0,73.0,100.0
1705447352256536818,0,92.0,75.0,70.0,99.0
1705447352290831052,0,94.0,70.0,67.0,98.0
1705447352320741283,0,95.0,64.0,62.0,98.0
1705447352349788531,0,95.0,59.0,58.0,99.0
1705447352382004295,0,97.0,56.0,52.0,99.0
1705447352413048178,0,100.0,58.0,50.0,99.0
1705447352444062515,0,103.0,61.0,49.0,100.0
1705447352475404776,0,104.0,66.0,51.0,98.0
1705447352506710785,0,104.0,67.0,51.0,97.0
1705447352540815687,0,104.0,68.0,50.0,96.0
1705447352570529614,0,105.0,67.0,49.0,96.0
1705447352610597671,0,106.0,66.0,50.0,99.0
1705447352633002514,0,107.0,65.0,49.0,100.0
1705447352664350486,0,108.0,65.0,50.0,100.0
1705447352694309583,0,108.0,65.0,48.0,98.0
1705447352727473076,0,109.0,64.0,48.0,96.0
1705447352757359458,0,108.0,62.0,48.0,96.0
1705447352794270067,0,109.0,59.0,49.0,96.0
1705447352820108504,0,109.0,58.0,49.0,96.0
1705447352850872528,0,108.0,57.0,47.0,96.0
